pie_version,product,sysversion,vaid,imei,day,id,start_time,end_time,formatted_start_time,formatted_end_time,name,charge,screen,foreground_duration,background_duration,foreground_energy,background_energy,foreground_energy_per_hour,background_energy_per_hour,total_energy_per_hour,event_date,anomaly_label,anomaly_score,is_anomaly
Android 9,vivo NEX 3S,V13.1.2.0,VA126225,409657442074875,Tuesday,ID000001,1748247532,1748259843,2025-05-26 04:18:52,2025-05-26 07:44:03,com.tencent.mm,87,0,1576,10735,32,80,73.1,26.83,32.75,2025-05-26,1,0.14168497011212783,False
Android 9,vivo X90,V13.0.1.0,VA343962,777812434302673,Monday,ID000002,1747376452,1747386301,2025-05-16 02:20:52,2025-05-16 05:05:01,com.android.chrome,77,0,1176,8673,66,62,202.04,25.74,46.79,2025-05-16,1,0.18518477019039203,False
Android 9,vivo NEX 3S,V12.1.0.0,VA456778,275055470498697,Tuesday,ID000003,1746241192,1746248696,2025-05-02 22:59:52,2025-05-03 01:04:56,com.tencent.mm,35,1,6769,735,1204,470,640.33,2302.04,803.09,2025-05-02,-1,-0.06048479212226743,True
Android 9,vivo iQOO 9,V13.1.2.0,VA496922,721542235717608,Wednesday,ID000004,1746548812,1746560871,2025-05-06 12:26:52,2025-05-06 15:47:51,com.tencent.mm,64,0,800,11259,59,95,265.5,30.38,45.97,2025-05-06,1,0.13389906400194862,False
Android 9,vivo S15,V13.1.2.0,VA996865,527981039942352,Wednesday,ID000005,1747584772,1747593210,2025-05-18 12:12:52,2025-05-18 14:33:30,com.android.phone,77,0,818,7620,63,90,277.26,42.52,65.28,2025-05-18,1,0.17441155106626405,False
Android 9,vivo iQOO 9,V13.0.1.0,VA660086,375632657796564,Tuesday,ID000006,1747615732,1747630176,2025-05-18 20:48:52,2025-05-19 00:49:36,com.tencent.mm,80,0,1370,13074,152,33,399.42,9.09,46.11,2025-05-18,1,0.15164164729634588,False
Android 9,vivo X90,V12.5.3.0,VA520651,174518832523934,Tuesday,ID000007,1746295792,1746308825,2025-05-03 14:09:52,2025-05-03 17:47:05,com.sina.weibo,89,1,495,12538,137,55,996.36,15.79,53.03,2025-05-03,1,0.15095577516232866,False
Android 9,vivo X80,V13.0.1.0,VA881177,706834045342331,Wednesday,ID000008,1746815932,1746824539,2025-05-09 14:38:52,2025-05-09 17:02:19,com.UCMobile,92,0,877,7730,66,22,270.92,10.25,36.81,2025-05-09,1,0.16490051033626368,False
Android 9,vivo X90,V13.1.2.0,VA260265,280125033319876,Sunday,ID000009,1747006072,1747023396,2025-05-11 19:27:52,2025-05-12 00:16:36,com.youku.phone,18,0,16104,1220,1458,741,325.93,2186.56,456.96,2025-05-11,-1,-0.043016016308749405,True
Android 9,vivo NEX 3S,V13.1.2.0,VA814825,704576281624317,Sunday,ID000010,1748105092,1748110433,2025-05-24 12:44:52,2025-05-24 14:13:53,com.qiyi.video,76,0,950,4391,126,5,477.47,4.1,88.3,2025-05-24,1,0.1658838353953732,False
